# 20250129T1807
# N=218
sample	sample_sex	assembly_type	hg_short	haplogroup	study_generation	asm_hap1	asm_hap2	t2t_ctg	t2t_scf
HG00272	female	vrk-hic	XX	XX	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00272/verkko-hi-c/analysis/HG00272.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00272/verkko-hi-c/analysis/HG00272.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00272/verkko-hi-c/analysis/HG00272.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00272/verkko-hi-c/analysis/HG00272.t2t_scfs
HG00280	male	vrk-hic	UN	unknown	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00280/verkko-hi-c/analysis/HG00280.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00280/verkko-hi-c/analysis/HG00280.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00280/verkko-hi-c/analysis/HG00280.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00280/verkko-hi-c/analysis/HG00280.t2t_scfs
HG00290	male	vrk-hic	UN	unknown	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00290/verkko-hi-c/analysis/HG00290.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00290/verkko-hi-c/analysis/HG00290.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00290/verkko-hi-c/analysis/HG00290.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00290/verkko-hi-c/analysis/HG00290.t2t_scfs
HG00320	female	vrk-hic	XX	XX	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00320/verkko-hi-c/analysis/HG00320.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00320/verkko-hi-c/analysis/HG00320.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00320/verkko-hi-c/analysis/HG00320.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00320/verkko-hi-c/analysis/HG00320.t2t_scfs
HG00321	male	vrk-hic	UN	unknown	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00321/verkko-hi-c/analysis/HG00321.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00321/verkko-hi-c/analysis/HG00321.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00321/verkko-hi-c/analysis/HG00321.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00321/verkko-hi-c/analysis/HG00321.t2t_scfs
HG00323	female	vrk-hic	XX	XX	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00323/verkko-hi-c/analysis/HG00323.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00323/verkko-hi-c/analysis/HG00323.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00323/verkko-hi-c/analysis/HG00323.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00323/verkko-hi-c/analysis/HG00323.t2t_scfs
HG00329	male	vrk-hic	UN	unknown	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00329/verkko-hi-c/analysis/HG00329.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00329/verkko-hi-c/analysis/HG00329.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00329/verkko-hi-c/analysis/HG00329.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00329/verkko-hi-c/analysis/HG00329.t2t_scfs
HG00344	female	vrk-hic	XX	XX	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00344/verkko-hi-c/analysis/HG00344.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00344/verkko-hi-c/analysis/HG00344.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00344/verkko-hi-c/analysis/HG00344.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00344/verkko-hi-c/analysis/HG00344.t2t_scfs
HG00350	female	vrk-hic	XX	XX	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00350/verkko-hi-c/analysis/HG00350.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00350/verkko-hi-c/analysis/HG00350.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00350/verkko-hi-c/analysis/HG00350.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00350/verkko-hi-c/analysis/HG00350.t2t_scfs
HG00408	female	vrk-thc	XX	XX	2025	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00408/verkko-thic/analysis/HG00408.assembly.refOriented.haplotype1.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00408/verkko-thic/analysis/HG00408.assembly.refOriented.haplotype2.fasta.gz	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00408/verkko-thic/analysis/HG00408.t2t_ctgs	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/hprc/assemblies/6807247E-4F71-45D8-AECE-9E5813BA1D9F--verkko-v2.2.1-release2_asms/HG00408/verkko-thic/analysis/HG00408.t2t_scfs
